,OBJECTID,STREET_NAM,street_name_URI,Divided,LTS,ExisFacil,Shape__Length,osm_type,osm_id,lat,lon
0,228,Adams Street,Adams-Street,no,LTS 3,SLM,110.100489632546,way,506126419,42.2713823,-71.0681607
1,204,Albany Street,Albany-Street,no,LTS 3,BL,104.216507856868,way,48941599,42.3467181,-71.0609504
2,2576,Albany Street Connector,Albany-Street-Connector,no,LTS 1,SUP,978.3095051097189,,,,
3,191,Alford Street,Alford-Street,yes,LTS 4,SLM,191.416051331252,way,38783470,42.3896109,-71.0711719
4,72,American Legion Highway,American-Legion-Highway,yes,LTS 2,BFBL,281.859177874188,way,426627262,42.285904,-71.109802
5,346,Antwerp St,Antwerp-St,no,LTS 2,BL,84.7833610556958,way,8644264,42.3591092,-71.1401905
6,1991,Arborway,Arborway,yes,LTS 3,BL,404.16933485613504,way,8652438,42.3091309,-71.1209069
7,1158,Arlington Street,Arlington-Street,no,LTS 4,SLM,63.2410494875231,way,89641249,42.3546476,-71.0720688
8,2509,Arnold Arboretum Trails,Arnold-Arboretum-Trails,no,LTS 1,SUP,821.157523802044,,,,
9,223,Ashmont Street,Ashmont-Street,no,LTS 3,SLM,118.293986042421,way,426678900,42.2858079,-71.0640963
10,266,A Street,A-Street,no,LTS 2,BL,53.2189231674535,way,712375229,42.348726,-71.0497423
11,269,Atlantic Avenue,Atlantic-Avenue,no,LTS 3,BL,130.447352609683,way,591136308,42.3526659,-71.0553675
12,2936,Babcock Street,Babcock-Street,no,LTS 3,SLM,55.302052511381504,way,533506541,42.351794,-71.121279
13,18,Baker Street,Baker-Street,no,LTS 3,BL,128.568572643539,way,630213533,42.287972,-71.171569
14,164,Ballou Avenue,Ballou-Avenue,no,LTS 1,NW,477.48916621665995,way,8642540,42.285293,-71.082747
15,2571,Barry Playground Path,Barry-Playground-Path,no,LTS 1,SUP,510.398057388025,,,,
16,13,Beacon Street,Beacon-Street,no,LTS 2,BFBL,77.4158091967962,way,89641250,42.3554337,-71.0725717
17,333,Beech Street,Beech-Street,no,LTS 3,SLM,71.82974256062091,way,435203976,42.283289,-71.144897
18,33,Belgrade Avenue,Belgrade-Avenue,no,LTS 3,BL,93.21228389283769,way,312345520,42.2869647,-71.130392
19,2721,Belle Isle Marsh Path,Belle-Isle-Marsh-Path,no,LTS 1,SUC,224.89562420303398,,,,
20,1129,Belvidere Street,Belvidere-Street,no,LTS 3,BL,112.75517896875,way,591278029,42.345339,-71.08171
21,260,Bennington Street,Bennington-Street,yes,LTS 4,SLM,164.142459870301,way,579180077,42.3879014,-71.0024661
22,2530,Blackwell Path,Blackwell-Path,no,LTS 1,NSUP,828.8739492694,,,,
23,2528,Blossom Street Shared-Use Bridge,Blossom-Street-Shared-Use-Bridge,no,LTS 1,WALK,249.46922501937001,,,,
24,2024,Blue Hill Avenue,Blue-Hill-Avenue,yes,LTS 4,SLM,129.486651709922,way,426467420,42.2918647,-71.089014
25,2868,Bold Knob Path,Bold-Knob-Path,no,LTS 1,SUP,224.95905033096,,,,
26,2177,Border Street,Border-Street,no,LTS 3,BL,29.1330536976215,way,575422180,42.374995,-71.0398458
27,2573,Boston Bike Pike,Boston-Bike-Pike,no,LTS 1,SUP,123.461480470718,,,,
28,2659,Boston Harbor Islands Trails,Boston-Harbor-Islands-Trails,no,LTS 1,SUC,17.673942372443896,,,,
29,2519,Boston Harborwalk,Boston-Harborwalk,no,LTS 1,SUC,1825.74980330293,way,570185090,42.3538789,-71.0478489
30,1360,Boston University Bridge,Boston-University-Bridge,no,LTS 3,BL,363.81172160929805,way,327284817,42.3509682,-71.1108575
31,146,Boylston Street,Boylston-Street,no,LTS 4,CL,122.037327213244,way,8645818,42.3484393,-71.0834401
32,1004,Brighton Avenue,Brighton-Avenue,yes,LTS 3,PSL,79.11592804946771,way,533612833,42.3532515,-71.1336842
33,1231,Broad Street,Broad-Street,no,LTS 3,SLM,10.0015043616416,way,485292838,42.3586486,-71.0543732
34,1993,Brookley Road,Brookley-Road,no,LTS 2,TC,106.412150757864,way,8647920,42.303562,-71.10696
35,426,Brookline Avenue,Brookline-Avenue,no,LTS 4,CL,37.0219841752181,way,426645900,42.337956,-71.10831
36,1008,Cambridge Street,Cambridge-Street,yes,LTS 3,BFBL,77.0215156794266,way,426456661,42.3611729,-71.0624697
37,1429,Causeway Street,Causeway-Street,no,LTS 1,SBL,66.70890417032561,way,578921207,42.3654548,-71.0611524
38,1266,Central Square,Central-Square,no,LTS 3,SLM,29.7255394610496,node,358260234,42.3750202,-71.0393784
39,39,Centre Street,Centre-Street,no,LTS 2,BL,102.535943020804,way,8650878,42.2951573,-71.1349834
40,2869,Chamberlain Path,Chamberlain-Path,no,LTS 1,SUP,530.20964690729,,,,
41,2753,Charles River/Harborwalk Connection,Charles-River/Harborwalk-Connection,no,LTS 1,SUP,85.60012492832959,,,,
42,2538,Charles River Bike Path,Charles-River-Bike-Path,no,LTS 1,SUP,2895.03435117362,,,,
43,2643,Charles River Dam Sidepath,Charles-River-Dam-Sidepath,no,LTS 1,SUC,311.41277444530203,,,,
44,2506,Charles River Locks,Charles-River-Locks,no,LTS 1,WALK,285.985699317201,,,,
45,2843,Charles River Path,Charles-River-Path,no,LTS 1,SUC,274.320405975327,,,,
46,913,Charles Street Circle,Charles-Street-Circle,yes,LTS 4,SLM,84.009864853719,way,8650751,42.3003827,-71.0624746
47,1243,Chelsea Street,Chelsea-Street,no,LTS 3,BL,98.0856121089213,way,291408608,42.3712986,-71.0371543
48,24,Chestnut Hill Avenue,Chestnut-Hill-Avenue,no,LTS 4,SLM,159.090144768593,node,69495717,42.338352,-71.1528837
49,75,Chestnut Street,Chestnut-Street,yes,LTS 2,BL,186.34821799069198,way,276561829,42.3221251,-71.1195233
50,241,City Square,City-Square,no,LTS 3,BL,38.8566979716095,way,217801044,42.3718654,-71.0612168
51,1154,Colonial Avenue,Colonial-Avenue,no,LTS 2,TC,272.619250445332,way,8648552,42.290479,-71.076648
52,2025,Columbia Road,Columbia-Road,yes,LTS 3,BL,79.4577978541513,way,31492980,42.3214435,-71.0520767
53,117,Columbus Avenue,Columbus-Avenue,no,LTS 3,SBL,69.65483498818111,way,426462215,42.3402989,-71.082099
54,257,Commercial Street,Commercial-Street,no,LTS 1,SBL,78.5528502173043,way,217801046,42.3672741,-71.0580335
55,2012,Commonwealth Avenue,Commonwealth-Avenue,yes,LTS 3,BL,10.041164361699598,way,8646670,42.3519534,-71.1234233
56,1007,Commonwealth Avenue Frontage Road Eb,Commonwealth-Avenue-Frontage-Road-Eb,yes,LTS 2,NW-U,129.576118972624,,,,
57,339,Commonwealth Avenue Frontage Road Wb,Commonwealth-Avenue-Frontage-Road-Wb,yes,LTS 2,NW-U,255.773796021599,way,8647419,42.345976,-71.141727
58,274,Congress Street,Congress-Street,no,LTS 1,SBL,191.55970901111698,way,290281426,42.349352,-71.0445405
59,2812,Connection to North Station,Connection-to-North-Station,no,LTS 1,SUC,276.65310125257196,,,,
60,2616,ConRAC Multi-Use Path,ConRAC-Multi-Use-Path,no,LTS 1,SUP,196.868118361222,,,,
61,2913,Constitution Beach Footbridge,Constitution-Beach-Footbridge,no,LTS 1,WALK,224.972911399986,,,,
62,2136,Constitution Road,Constitution-Road,no,LTS 2,NW,180.112742539831,way,217801048,42.3736173,-71.0581112
63,2924,Constitution Road to Navy Yard Connection,Constitution-Road-to-Navy-Yard-Connection,no,LTS 1,SUP,27.096769748203002,,,,
64,376,Corinth Street,Corinth-Street,no,LTS 4,SLM,115.251317905667,way,139439562,42.2868203,-71.1311278
65,279,Cross Street,Cross-Street,no,LTS 3,BL,92.2057561892464,way,591310041,42.3638137,-71.0576726
66,50,Cummins Highway,Cummins-Highway,no,LTS 3,BL,196.247556943969,way,34729474,42.2698698,-71.0975656
67,1459,Dalton Street,Dalton-Street,no,LTS 3,CL,108.26594994919,way,426831644,42.3478661,-71.0855635
68,1152,Darlington Street,Darlington-Street,no,LTS 2,TC,207.536937742972,way,8645161,42.2887584,-71.0755955
69,187,Dartmouth Street,Dartmouth-Street,no,LTS 3,BL,60.60568381188249,way,40016861,42.3473135,-71.0759078
70,2508,Dartmouth Street Shared-Use Bridge,Dartmouth-Street-Shared-Use-Bridge,no,LTS 1,WALK,184.647486662898,,,,
71,268,Devonshire Street,Devonshire-Street,no,LTS 2,SLM,196.66589843971298,way,684028385,42.3550138,-71.0575114
72,1188,Dexter Row,Dexter-Row,no,LTS 3,BL,107.39730363644699,way,690296523,42.3752967,-71.0639845
73,200,Dorchester Avenue,Dorchester-Avenue,no,LTS 3,SLM,107.594728884954,way,426677240,42.3079919,-71.0583042
74,2460,Drydock Avenue,Drydock-Avenue,no,LTS 2,BL,246.88998927566,way,591136331,42.3446312,-71.0372076
75,259,D Street,D-Street,no,LTS 4,CL,111.205030223047,way,297218449,42.3470451,-71.0413343
76,2153,D Street Extension,D-Street-Extension,yes,LTS 4,SLM,93.4869304844975,,,,
77,154,Dungarven Road,Dungarven-Road,no,LTS 2,TC,96.0482258606069,way,8641206,42.3056357,-71.1054737
78,2541,East Boston Greenway,East-Boston-Greenway,no,LTS 1,SUP,10.7406741035956,way,291406890,42.3795524,-71.0248169
79,2599,East Boston Greenway Connector,East-Boston-Greenway-Connector,no,LTS 1,SUP,1273.22781549388,way,667459874,42.3789931,-71.0244222
80,2619,East Boston Memorial Park Path,East-Boston-Memorial-Park-Path,no,LTS 1,SUP,98.76353924053811,,,,
81,2515,East Boundary Path,East-Boundary-Path,no,LTS 1,SUP,1695.1365132042001,,,,
82,2808,East First Street Path,East-First-Street-Path,no,LTS 1,SUP,825.294872166994,way,591217312,42.3382196,-71.031435
83,1989,Eliot Street,Eliot-Street,no,LTS 2,TC,88.1931654096331,way,8651962,42.3117356,-71.1175594
84,2587,Ellis Memorial Childrens Park Path,Ellis-Memorial-Childrens-Park-Path,no,LTS 1,SUP,118.95524273817,,,,
85,1712,Elm Hill Entrance,Elm-Hill-Entrance,no,LTS 1,SUP,285.008216636771,,,,
86,2744,Emerald Necklace,Emerald-Necklace,no,LTS 1,SUP,206.701867672425,way,485282202,42.3442371,-71.0915617
87,2513,Emerald Necklace Trail,Emerald-Necklace-Trail,no,LTS 1,SUP,715.484265487348,,,,
88,2579,Emerald Necklace Trail/Route 9 Crossing,Emerald-Necklace-Trail/Route-9-Crossing,no,LTS 1,SUP,247.758775938243,,,,
89,2745,Emerald Necklace Trail/Sears Rotary,Emerald-Necklace-Trail/Sears-Rotary,no,LTS 1,SUP,246.738031852429,,,,
90,1081,Essex Street,Essex-Street,no,LTS 3,BL,28.489706147672898,way,591677201,42.352513,-71.059397
91,40,Everett Street,Everett-Street,no,LTS 3,CL,17.4919871573298,way,26428915,42.3571565,-71.1381512
92,2561,Fairfield Street Shared-Use Bridge,Fairfield-Street-Shared-Use-Bridge,no,LTS 1,WALK,216.465408530286,,,,
93,9,Faneuil Street,Faneuil-Street,no,LTS 3,BL,50.886694286454706,way,591284846,42.352585,-71.161601
94,2386,Ferndale Street,Ferndale-Street,no,LTS 2,TC,219.282067637101,way,8650635,42.288629,-71.077269
95,2507,Fiedler Shared-Use Bridge,Fiedler-Shared-Use-Bridge,no,LTS 1,WALK,279.810570721325,,,,
96,2560,Fiedler Shared-Use Bridge to Beacon St Connector,Fiedler-Shared-Use-Bridge-to-Beacon-St-Connector,no,LTS 1,SUP,78.2498669538664,,,,
97,2815,Fifth Street/Bunker Hill Street Connector,Fifth-Street/Bunker-Hill-Street-Connector,no,LTS 1,SUP,97.99345599127192,,,,
98,909,First Avenue,First-Avenue,no,LTS 1,NW,34.352400668154395,way,8651989,42.3754626,-71.053528
99,1400,Forbes Street,Forbes-Street,no,LTS 2,TC,603.766829635047,way,8645338,42.321045,-71.106676
100,96,Forest Hills Entrance Drive,Forest-Hills-Entrance-Drive,no,LTS 3,BL,438.12657064991896,,,,
101,487,Forsyth Street,Forsyth-Street,no,LTS 2,BL,33.472754314731695,way,8651581,42.340475,-71.0909834
102,125,Forsyth Way,Forsyth-Way,yes,LTS 3,BL,141.868680321536,way,426595823,42.3389463,-71.0924369
103,2630,Franklin Park Path,Franklin-Park-Path,no,LTS 1,SUP,864.3614792866499,node,153943947,40.0759005,-82.2270897
104,1992,Franklin Park Service Road,Franklin-Park-Service-Road,no,LTS 1,SRd,342.390681882837,way,494970975,42.2971182,-71.0987182
105,46,Franklin Street,Franklin-Street,no,LTS 2,NW,51.5781737212974,way,426489268,42.3554532,-71.0575834
106,249,Freeport Street,Freeport-Street,no,LTS 2,BL,68.9375817205332,way,504639456,42.2948819,-71.0472863
107,2301,Gartland Street,Gartland-Street,no,LTS 2,TC,153.690479859865,way,8639176,42.306175,-71.106119
108,2524,Gavin Path,Gavin-Path,no,LTS 1,SUP,590.043698801372,,,,
109,194,Geneva Avenue,Geneva-Avenue,no,LTS 3,SLM,69.6270447998953,way,591252056,42.301298,-71.067873
110,158,Glen Lane,Glen-Lane,no,LTS 1,SUP,245.35196839904202,way,8645328,42.304681,-71.090916
111,1592,Gordon Street,Gordon-Street,yes,LTS 2,NW-U,74.8057308131602,way,578462204,42.3494561,-71.1399399
112,2355,Harrison Avenue,Harrison-Avenue,no,LTS 3,CL,99.5946104378597,way,101439779,42.3280082,-71.0829258
113,1304,Harvard Avenue,Harvard-Avenue,no,LTS 3,BL,11.8077141708218,node,69489609,42.3502469,-71.1314516
114,1389,Hemenway Street,Hemenway-Street,yes,LTS 3,BL,72.47567797227549,way,246500791,42.345405,-71.089517
115,2014,Hereford Street,Hereford-Street,no,LTS 4,SLM,62.86519529426721,way,580417128,42.3503532,-71.086427
116,270,High Street,High-Street,no,LTS 3,BL,102.821443364511,way,426491214,42.3536248,-71.0561898
117,55,Huntington Avenue,Huntington-Avenue,yes,LTS 4,SLM,84.76940487688609,way,8647376,42.3319495,-71.1126977
118,95,James Shea Circle,James-Shea-Circle,yes,LTS 1,SBL,55.8263523723018,,,,
119,90,Jewish War Veterans Drive,Jewish-War-Veterans-Drive,no,LTS 3,BL,781.240918957863,way,93123246,42.3011976,-71.1044142
120,291,John F. Fitzgerald Surface Road,John-F.-Fitzgerald-Surface-Road,no,LTS 3,BL,44.9638274996993,way,591908557,42.3589471,-71.0522628
121,2846,John W. Weeks Bridge,John-W.-Weeks-Bridge,no,LTS 1,SUB,198.572558156272,,,,
122,480,Kenton Road,Kenton-Road,no,LTS 2,TC,106.08982451995001,way,8652220,42.306641,-71.10555
123,275,Kilby Street,Kilby-Street,no,LTS 3,BL,33.9428624717167,way,103553906,42.3582478,-71.0555669
124,212,Kneeland Street,Kneeland-Street,no,LTS 1,SBL,77.9446145865335,way,426492390,42.3501019,-71.0596026
125,2209,Knight Street,Knight-Street,no,LTS 1,SUP,86.8450695092812,way,8644787,42.2457412,-71.1333347
126,4,Lake Street,Lake-Street,no,LTS 2,SLM,185.77592613021,way,8644753,42.347005,-71.16168
